DREETS_DREETS;code_region;SIRET;Code_deca
DEETS GUADELOUPE;1;13001390700014;25
DEETS MARTINIQUE;2;13001424400029;26
DGCOPOP GUYANE;3;13001443400018;27
DEETS REUNION;4;13001466500017;28
DEETS MAYOTTE;6;13001459000017;29
DRIEETS ILE-DE-FRANCE;11;13001237000107;20
DREETS CENTRE-VAL DE LOIRE;24;13001087900109;18
DREETS BOURGOGNE-FRANCHE-COMTÉ;27;13001070500064;16
DREETS NORMANDIE;28;13001189300018;15
DREETS HAUTS-DE-FRANCE;32;13001092900011;22
DREETS GRAND EST;44;13001179400018;12
DREETS PAYS DE LA LOIRE;52;13001200800079;23
DREETS BRETAGNE;53;13001110900068;17
DREETS NOUVELLE AQUITAINE;75;13001041600019;13
DREETS OCCITANIE;76;13001128100024;21
DREETS AUVERGNE-RHONES-ALPES;84;13000992100011;14
DREETS PROVENCE-ALPES-COTE D'AZUR (PACA);93;13001050700080;24
DREETS CORSE;94;13001129900018;19
DCSTEP Saint-Pierre-et-Miquelon;905;13001425100016;30
DREETS NOUVELLE-CALEDONIE;912;13002394800016;31
